ID,Team1,Team2,PlayerOfMatch,Date,CoinFlipWin,CoinDec,Location,Stadium,NeutralVenue,Winner,WinType,WinBy
1,Zimbabwe,India,CJ Chibhabha,2015-07-19,Zimbabwe,bat,0,Harare Sports Club,0,Zimbabwe,runs,10
2,Australia,Sri Lanka,SR Clark,2007-09-20,Australia,field,Cape Town,Newlands,1,Australia,wickets,10
3,Australia,West Indies,KA Pollard,2013-02-13,West Indies,bat,Brisbane,"Brisbane Cricket Ground, Woolloongabba",0,West Indies,runs,27
4,New Zealand,Pakistan,NL McCullum,2010-12-28,Pakistan,field,Hamilton,Seddon Park,0,New Zealand,runs,39
5,United Arab Emirates,Scotland,Amjad Javed,2016-02-04,United Arab Emirates,bat,Dubai,ICC Academy,0,United Arab Emirates,runs,9
6,Sri Lanka,New Zealand,DL Vettori,2009-09-02,New Zealand,bat,Colombo,R Premadasa Stadium,0,New Zealand,runs,3
7,Australia,England,SR Watson,2011-01-12,Australia,bat,0,Adelaide Oval,0,England,wickets,1
8,Netherlands,Scotland,JH Davey,2017-01-17,Netherlands,field,Abu Dhabi,Sheikh Zayed Stadium,1,Scotland,runs,7
9,England,Australia,AD Hales,2013-08-31,Australia,field,Chester-le-Street,Riverside Ground,0,England,runs,27
10,Bangladesh,Zimbabwe,MN Waller,2016-01-20,Zimbabwe,bat,Khulna,Sheikh Abu Naser Stadium,0,Zimbabwe,runs,31
11,England,South Africa,AB de Villiers,2014-03-29,England,field,Chittagong,Zahur Ahmed Chowdhury Stadium,1,South Africa,runs,3
12,Bangladesh,Oman,Tamim Iqbal,2016-03-13,Oman,field,Dharamsala,Himachal Pradesh Cricket Association Stadium,1,Bangladesh,runs,54
13,England,Pakistan,Abdul Razzaq,2010-02-20,Pakistan,field,0,Dubai International Cricket Stadium,1,Pakistan,wickets,4
14,India,England,KP Pietersen,2011-10-29,India,bat,Kolkata,Eden Gardens,0,England,wickets,6
15,United Arab Emirates,Netherlands,Mudassar Bukhari,2016-02-03,United Arab Emirates,field,Dubai,ICC Academy,0,Netherlands,runs,84
16,Zimbabwe,Pakistan,Umar Akmal,2015-09-29,Pakistan,bat,0,Harare Sports Club,0,Pakistan,runs,15
17,Ireland,Pakistan,Kamran Akmal,2009-06-15,Pakistan,bat,London,Kennington Oval,1,Pakistan,runs,39
18,Australia,Pakistan,JP Faulkner,2016-03-25,Australia,bat,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Australia,runs,21
19,Pakistan,Scotland,Shahid Afridi,2007-09-12,Scotland,field,Durban,Kingsmead,1,Pakistan,runs,51
20,Afghanistan,Canada,Samiullah Shenwari,2012-03-18,Afghanistan,bat,Dubai,ICC Global Cricket Academy,1,Afghanistan,runs,41
21,Australia,West Indies,SW Tait,2010-02-21,Australia,bat,Hobart,Bellerive Oval,0,Australia,runs,38
22,Sri Lanka,West Indies,MN Samuels,2012-10-07,West Indies,bat,Colombo,R Premadasa Stadium,0,West Indies,runs,36
23,Scotland,Afghanistan,Mohammad Shahzad,2015-07-12,Afghanistan,bat,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",0,Afghanistan,runs,37
24,Hong Kong,Netherlands,Anshuman Rath,2017-01-18,Hong Kong,bat,0,Dubai International Cricket Stadium,1,Hong Kong,runs,91
25,India,West Indies,LMP Simmons,2016-03-31,West Indies,field,Mumbai,Wankhede Stadium,0,West Indies,wickets,7
26,New Zealand,Pakistan,TG Southee,2010-12-26,New Zealand,field,Auckland,Eden Park,0,New Zealand,wickets,5
27,England,Pakistan,Umar Gul,2012-02-23,England,field,0,Dubai International Cricket Stadium,1,Pakistan,runs,8
28,England,New Zealand,0,2013-06-27,New Zealand,field,London,Kennington Oval,0,0,0,0
29,Australia,Pakistan,Misbah-ul-Haq,2007-09-18,Pakistan,field,Johannesburg,New Wanderers Stadium,1,Pakistan,wickets,6
30,New Zealand,Australia,RT Ponting,2005-02-17,Australia,bat,Auckland,Eden Park,0,Australia,runs,44
31,Bangladesh,United Arab Emirates,Mahmudullah,2016-02-26,United Arab Emirates,field,Mirpur,Shere Bangla National Stadium,0,Bangladesh,runs,51
32,Hong Kong,United Arab Emirates,0,2016-02-21,Hong Kong,bat,Fatullah,Khan Shaheb Osman Ali Stadium,1,United Arab Emirates,wickets,6
33,New Zealand,Pakistan,Imran Nazir,2009-11-12,New Zealand,field,0,Dubai International Cricket Stadium,1,Pakistan,runs,49
34,England,India,JW Dernbach,2011-08-31,India,bat,Manchester,Old Trafford,0,England,wickets,6
35,Zimbabwe,Pakistan,Imad Wasim,2015-09-27,Pakistan,bat,0,Harare Sports Club,0,Pakistan,runs,13
36,West Indies,India,CH Gayle,2010-05-09,India,field,Barbados,"Kensington Oval, Bridgetown",0,West Indies,runs,14
37,West Indies,England,MN Samuels,2014-03-09,West Indies,bat,Barbados,"Kensington Oval, Bridgetown",0,West Indies,runs,27
38,Canada,Scotland,RD Berrington,2012-03-23,Canada,bat,0,Dubai International Cricket Stadium,1,Scotland,wickets,4
39,South Africa,Pakistan,Mohammad Hafeez,2013-11-22,Pakistan,bat,Cape Town,Newlands,0,Pakistan,runs,6
40,England,West Indies,MN Samuels,2016-04-03,West Indies,field,Kolkata,Eden Gardens,1,West Indies,wickets,4
41,Hong Kong,Oman,0,2016-02-19,Oman,bat,Fatullah,Khan Shaheb Osman Ali Stadium,1,Oman,runs,5
42,United Arab Emirates,Afghanistan,Karim Janat,2016-12-14,Afghanistan,bat,Dubai,ICC Academy,0,Afghanistan,runs,11
43,West Indies,Australia,XM Marshall,2008-06-20,West Indies,field,Barbados,"Kensington Oval, Bridgetown",0,West Indies,wickets,7
44,New Zealand,West Indies,CH Gayle,2008-12-26,New Zealand,bat,Auckland,Eden Park,0,0,0,0
45,Australia,Pakistan,Mohammad Amir,2010-07-06,Pakistan,bat,Birmingham,Edgbaston,1,Pakistan,runs,11
46,England,India,Harbhajan Singh,2012-09-23,England,field,Colombo,R Premadasa Stadium,1,India,runs,90
47,South Africa,Australia,MA Starc,2014-03-14,Australia,field,Centurion,SuperSport Park,0,Australia,wickets,6
48,Bangladesh,Pakistan,Shahid Afridi,2016-03-16,Pakistan,bat,Kolkata,Eden Gardens,1,Pakistan,runs,55
49,Australia,Sri Lanka,DAS Gunaratne,2017-02-17,Sri Lanka,field,0,Melbourne Cricket Ground,0,Sri Lanka,wickets,5
50,Australia,Sri Lanka,S Randiv,2010-10-31,Australia,bat,Perth,Western Australia Cricket Association Ground,0,Sri Lanka,wickets,7
51,Australia,Pakistan,GJ Maxwell,2014-10-05,Pakistan,bat,0,Dubai International Cricket Stadium,1,Australia,wickets,6
52,Afghanistan,Oman,Mohammad Shahzad,2017-01-20,Afghanistan,field,0,Dubai International Cricket Stadium,1,Afghanistan,wickets,8
53,India,Sri Lanka,AD Mathews,2010-05-11,India,bat,St Lucia,"Beausejour Stadium, Gros Islet",1,Sri Lanka,wickets,5
54,India,Sri Lanka,KC Sangakkara,2009-12-09,India,field,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",0,Sri Lanka,runs,29
55,United Arab Emirates,Afghanistan,Rashid Khan,2016-12-18,Afghanistan,bat,Dubai,ICC Academy,0,Afghanistan,runs,44
56,Sri Lanka,New Zealand,0,2012-10-30,Sri Lanka,field,0,Pallekele International Cricket Stadium,0,0,0,0
57,Bangladesh,West Indies,Mushfiqur Rahim,2011-10-11,Bangladesh,field,Mirpur,Shere Bangla National Stadium,0,Bangladesh,wickets,3
58,Ireland,Papua New Guinea,0,2016-02-07,Papua New Guinea,field,Townsville,Tony Ireland Stadium,1,Ireland,runs,7
59,Afghanistan,Oman,Najibullah Zadran,2015-07-25,Afghanistan,field,Dublin,Clontarf Cricket Club Ground,1,Afghanistan,wickets,5
60,West Indies,New Zealand,ADS Fletcher,2014-07-06,New Zealand,field,Dominica,"Windsor Park, Roseau",0,West Indies,runs,39
61,New Zealand,Bangladesh,CJ Anderson,2017-01-08,Bangladesh,field,Mount Maunganui,Bay Oval,0,New Zealand,runs,27
62,Ireland,West Indies,0,2012-09-24,West Indies,field,Colombo,R Premadasa Stadium,1,0,0,0
63,New Zealand,Pakistan,AP Devcich,2014-12-05,Pakistan,field,0,Dubai International Cricket Stadium,1,New Zealand,runs,17
64,Sri Lanka,South Africa,DA Miller,2013-08-04,South Africa,bat,Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,South Africa,runs,22
65,England,India,EJG Morgan,2014-09-07,England,bat,Birmingham,Edgbaston,0,England,runs,3
66,United Arab Emirates,Papua New Guinea,0,2017-04-12,United Arab Emirates,field,Abu Dhabi,Sheikh Zayed Stadium,0,United Arab Emirates,wickets,5
67,West Indies,England,DJG Sammy,2010-05-03,West Indies,field,Guyana,Providence Stadium,0,West Indies,wickets,8
68,New Zealand,Australia,BB McCullum,2010-02-28,New Zealand,bat,Christchurch,AMI Stadium,0,0,0,0
69,Australia,West Indies,DJG Sammy,2014-03-28,Australia,bat,Mirpur,Shere Bangla National Stadium,1,West Indies,wickets,6
70,New Zealand,Sri Lanka,HMRKB Herath,2014-03-31,New Zealand,field,Chittagong,Zahur Ahmed Chowdhury Stadium,1,Sri Lanka,runs,59
71,Ireland,Oman,Amir Ali,2016-03-09,Ireland,bat,Dharamsala,Himachal Pradesh Cricket Association Stadium,1,Oman,wickets,2
72,Bangladesh,Zimbabwe,MN Waller,2015-11-13,Bangladesh,field,Mirpur,Shere Bangla National Stadium,0,Bangladesh,wickets,4
73,Canada,Kenya,SO Tikolo,2013-11-26,Kenya,bat,0,Sharjah Cricket Stadium,1,Kenya,runs,21
74,Oman,United Arab Emirates,Muhammad Usman,2016-02-22,Oman,field,Mirpur,Shere Bangla National Stadium,1,United Arab Emirates,runs,71
75,England,South Africa,DW Steyn,2012-09-08,South Africa,field,Chester-le-Street,Riverside Ground,0,South Africa,wickets,7
76,New Zealand,West Indies,JD Ryder,2008-12-28,New Zealand,bat,Hamilton,Seddon Park,0,New Zealand,runs,36
77,Australia,England,JR Hazlewood,2014-01-31,England,bat,0,Melbourne Cricket Ground,0,Australia,wickets,8
78,Bangladesh,Pakistan,Salman Butt,2010-05-01,Pakistan,bat,St Lucia,"Beausejour Stadium, Gros Islet",1,Pakistan,runs,21
79,West Indies,India,S Badrinath,2011-06-04,West Indies,field,Trinidad,"Queen's Park Oval, Port of Spain",0,India,runs,16
80,New Zealand,West Indies,CH Gayle,2012-06-30,New Zealand,field,Lauderhill,Central Broward Regional Park Stadium Turf Ground,1,West Indies,runs,56
81,Hong Kong,Scotland,CS MacLeod,2017-01-14,Scotland,bat,Abu Dhabi,Sheikh Zayed Stadium,1,Scotland,runs,24
82,South Africa,West Indies,CH Gayle,2015-01-11,West Indies,field,Johannesburg,New Wanderers Stadium,0,West Indies,wickets,4
83,Hong Kong,Oman,0,2015-11-21,Oman,field,Abu Dhabi,Sheikh Zayed Stadium,1,Oman,wickets,6
84,South Africa,Australia,HM Amla,2016-03-09,South Africa,bat,Cape Town,Newlands,0,Australia,wickets,6
85,Zimbabwe,India,YK Pathan,2010-06-12,India,field,0,Harare Sports Club,0,India,wickets,6
86,England,West Indies,AD Hales,2012-06-24,West Indies,bat,Nottingham,Trent Bridge,0,England,wickets,7
87,England,Pakistan,TT Bresnan,2010-09-07,Pakistan,bat,Cardiff,Sophia Gardens,0,England,wickets,6
88,Ireland,Scotland,GC Wilson,2017-01-20,Scotland,field,0,Dubai International Cricket Stadium,1,Ireland,runs,98
89,Bangladesh,South Africa,F du Plessis,2015-07-05,South Africa,bat,Mirpur,Shere Bangla National Stadium,0,South Africa,runs,52
90,Pakistan,South Africa,J Theron,2010-10-27,Pakistan,bat,Abu Dhabi,Sheikh Zayed Stadium,1,South Africa,wickets,6
91,Zimbabwe,India,BB Sran,2016-06-20,Zimbabwe,bat,0,Harare Sports Club,0,India,wickets,10
92,Ireland,Bangladesh,Elias Sunny,2012-07-18,Ireland,field,Belfast,"Civil Service Cricket Club, Stormont",0,Bangladesh,runs,71
93,India,West Indies,DJ Bravo,2009-06-12,India,bat,London,Lord's,1,West Indies,wickets,7
94,Bangladesh,New Zealand,BB McCullum,2012-09-21,Bangladesh,field,0,Pallekele International Cricket Stadium,1,New Zealand,runs,59
95,Australia,Pakistan,MEK Hussey,2010-05-14,Australia,field,St Lucia,"Beausejour Stadium, Gros Islet",1,Australia,wickets,3
96,Sri Lanka,Pakistan,Shahid Afridi,2012-06-03,Pakistan,bat,Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Pakistan,runs,23
97,Ireland,Netherlands,KJ O'Brien,2012-03-23,Ireland,field,0,Dubai International Cricket Stadium,1,Ireland,wickets,7
98,New Zealand,West Indies,SP Narine,2012-07-01,West Indies,bat,Lauderhill,Central Broward Regional Park Stadium Turf Ground,1,West Indies,runs,61
99,South Africa,Sri Lanka,AM Phangiso,2016-03-28,South Africa,field,Delhi,Feroz Shah Kotla,1,South Africa,wickets,8
100,England,Australia,KP Pietersen,2005-06-13,England,bat,Southampton,The Rose Bowl,0,England,runs,100
101,Australia,South Africa,MEK Hussey,2009-01-13,South Africa,bat,Brisbane,"Brisbane Cricket Ground, Woolloongabba",0,Australia,wickets,6
102,Sri Lanka,Australia,GJ Maxwell,2016-09-09,Sri Lanka,bat,Colombo,R Premadasa Stadium,0,Australia,wickets,4
103,Nepal,Papua New Guinea,A Vala,2015-07-17,Papua New Guinea,field,Dublin,"The Village, Malahide",1,Papua New Guinea,wickets,8
104,Zimbabwe,New Zealand,GH Worker,2015-08-09,Zimbabwe,field,0,Harare Sports Club,0,New Zealand,runs,80
105,United Arab Emirates,Papua New Guinea,0,2017-04-14,Papua New Guinea,bat,Abu Dhabi,Sheikh Zayed Stadium,0,United Arab Emirates,wickets,5
106,West Indies,Pakistan,Shadab Khan,2017-03-26,Pakistan,field,Barbados,"Kensington Oval, Bridgetown",0,Pakistan,wickets,6
107,India,England,YS Chahal,2017-02-01,England,field,Bangalore,M Chinnaswamy Stadium,0,India,runs,75
108,India,England,Yuvraj Singh,2012-12-20,India,field,Pune,Subrata Roy Sahara Stadium,0,India,wickets,5
109,South Africa,West Indies,JE Taylor,2007-12-16,West Indies,field,Port Elizabeth,St George's Park,0,West Indies,wickets,5
110,Netherlands,Nepal,0,2015-07-01,Nepal,field,Amstelveen,VRA Ground,0,Netherlands,runs,103
111,New Zealand,England,AD Mascarenhas,2008-02-05,New Zealand,field,Auckland,Eden Park,0,England,runs,32
112,India,Sri Lanka,S Dhawan,2016-02-12,Sri Lanka,field,Ranchi,JSCA International Stadium Complex,0,India,runs,69
113,South Africa,Australia,SR Watson,2011-10-13,South Africa,bat,Cape Town,Newlands,0,Australia,wickets,5
114,Sri Lanka,West Indies,TM Dilshan,2009-06-19,West Indies,field,London,Kennington Oval,1,Sri Lanka,runs,57
115,India,Pakistan,Yuvraj Singh,2012-12-28,Pakistan,field,Ahmedabad,"Sardar Patel Stadium, Motera",0,India,runs,11
116,Netherlands,Sri Lanka,AD Mathews,2014-03-24,Sri Lanka,field,Chittagong,Zahur Ahmed Chowdhury Stadium,1,Sri Lanka,wickets,9
117,Zimbabwe,Pakistan,Mohammad Hafeez,2011-09-18,Pakistan,bat,0,Harare Sports Club,0,Pakistan,runs,5
118,England,South Africa,KP Pietersen,2010-05-08,England,bat,Barbados,"Kensington Oval, Bridgetown",1,England,runs,39
119,India,England,MM Ali,2017-01-26,England,field,Kanpur,Green Park,0,England,wickets,7
120,South Africa,West Indies,MN van Wyk,2015-01-14,West Indies,field,Durban,Kingsmead,0,South Africa,runs,69
121,India,South Africa,Yuvraj Singh,2012-10-02,South Africa,field,Colombo,R Premadasa Stadium,1,India,runs,1
122,Afghanistan,Scotland,Dawlat Zadran,2013-11-16,Afghanistan,bat,0,Sharjah Cricket Stadium,1,Afghanistan,runs,17
123,New Zealand,Zimbabwe,JEC Franklin,2012-02-14,Zimbabwe,bat,Hamilton,Seddon Park,0,New Zealand,wickets,5
124,Afghanistan,South Africa,CH Morris,2016-03-20,South Africa,bat,Mumbai,Wankhede Stadium,1,South Africa,runs,37
125,England,Zimbabwe,KP Pietersen,2007-09-13,England,bat,Cape Town,Newlands,1,England,runs,50
126,South Africa,Sri Lanka,L Ngidi,2017-01-20,Sri Lanka,field,Centurion,SuperSport Park,0,South Africa,runs,19
127,India,Bangladesh,R Ashwin,2016-03-23,Bangladesh,field,Bangalore,M Chinnaswamy Stadium,0,India,runs,1
128,South Africa,New Zealand,RK Kleinveldt,2012-12-21,New Zealand,bat,Durban,Kingsmead,0,South Africa,wickets,8
129,Afghanistan,Kenya,Hamid Hassan,2013-09-30,Afghanistan,bat,0,Sharjah Cricket Stadium,1,Afghanistan,runs,106
130,Zimbabwe,India,SK Raina,2010-06-13,India,field,0,Harare Sports Club,0,India,wickets,7
131,New Zealand,Scotland,IG Butler,2009-06-06,New Zealand,field,London,Kennington Oval,1,New Zealand,wickets,7
132,England,New Zealand,JE Root,2015-06-23,England,bat,Manchester,Old Trafford,0,England,runs,56
133,India,Sri Lanka,R Ashwin,2016-02-14,India,field,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,India,wickets,9
134,West Indies,Zimbabwe,S Badree,2013-03-03,West Indies,bat,Antigua,"Sir Vivian Richards Stadium, North Sound",0,West Indies,runs,41
135,Australia,Bangladesh,MEK Hussey,2010-05-05,Australia,bat,Barbados,"Kensington Oval, Bridgetown",1,Australia,runs,27
136,Australia,West Indies,CH Gayle,2009-06-06,Australia,bat,London,Kennington Oval,1,West Indies,wickets,7
137,Australia,Pakistan,Mohammad Hafeez,2012-09-05,Pakistan,field,0,Dubai International Cricket Stadium,1,Pakistan,wickets,7
138,West Indies,Sri Lanka,DPMD Jayawardene,2010-05-07,Sri Lanka,bat,Barbados,"Kensington Oval, Bridgetown",0,Sri Lanka,runs,57
139,Australia,Sri Lanka,DAS Gunaratne,2017-02-19,Sri Lanka,field,Victoria,"Simonds Stadium, South Geelong",0,Sri Lanka,wickets,2
140,South Africa,Australia,GC Smith,2006-02-24,South Africa,bat,Johannesburg,New Wanderers Stadium,0,South Africa,runs,2
141,Canada,Netherlands,Mudassar Bukhari,2012-03-13,Netherlands,bat,0,Dubai International Cricket Stadium,1,Netherlands,runs,42
142,Pakistan,Zimbabwe,Mukhtar Ahmed,2015-05-22,Zimbabwe,bat,Lahore,Gaddafi Stadium,0,Pakistan,wickets,5
143,West Indies,Bangladesh,DJG Sammy,2009-08-02,Bangladesh,bat,St Kitts,"Warner Park, Basseterre",0,West Indies,wickets,5
144,Netherlands,New Zealand,BB McCullum,2014-03-29,New Zealand,field,Chittagong,Zahur Ahmed Chowdhury Stadium,1,New Zealand,wickets,6
145,Canada,Kenya,AA Obanda,2010-02-10,Kenya,field,0,Dubai International Cricket Stadium,1,Kenya,wickets,9
146,New Zealand,India,BB McCullum,2009-02-25,New Zealand,field,Christchurch,AMI Stadium,0,New Zealand,wickets,7
147,Sri Lanka,West Indies,SMSM Senanayake,2015-11-09,West Indies,field,0,Pallekele International Cricket Stadium,0,Sri Lanka,runs,30
148,England,New Zealand,JJ Roy,2016-03-30,England,field,Delhi,Feroz Shah Kotla,1,England,wickets,7
149,South Africa,West Indies,WD Parnell,2009-06-13,West Indies,field,London,Kennington Oval,1,South Africa,runs,20
150,Bangladesh,India,R Ashwin,2014-03-28,India,field,Mirpur,Shere Bangla National Stadium,0,India,wickets,8
151,England,South Africa,JC Buttler,2012-09-12,South Africa,field,Birmingham,Edgbaston,0,England,runs,28
152,Kenya,Netherlands,0,2013-04-20,Kenya,field,Windhoek,Wanderers Cricket Ground,1,Kenya,wickets,7
153,New Zealand,Pakistan,Sarfraz Ahmed,2014-12-04,Pakistan,field,0,Dubai International Cricket Stadium,1,Pakistan,wickets,7
154,Pakistan,Sri Lanka,Shahid Afridi,2013-12-11,Pakistan,field,0,Dubai International Cricket Stadium,1,Pakistan,wickets,3
155,Afghanistan,Ireland,Najeeb Tarakai,2017-03-10,Afghanistan,bat,Greater Noida,Greater Noida Sports Complex Ground,1,Afghanistan,runs,17
